0,78
1,771
2,928
3,973
4,581
5,206
6,280
7,978
8,576
9,117
10,207
11,596
12,73
13,967
14,241
15,355
16,410
17,512
18,221
19,120
20,175
21,218
22,475
23,238
24,903
25,322
26,276
27,982
28,934
29,615
30,926
31,114
32,104
33,808
34,867
35,429
36,505
37,814
38,995
39,937
40,640
41,539
42,283
43,538
44,111
45,334
45,12
46,797
47,557
48,162
49,439
50,796
51,694
52,897
53,406
54,165
55,850
56,712
57,160
58,584
59,569
60,571
61,52
62,986
63,154
64,86
65,403
66,387
67,877
68,532
69,315
70,491
71,156
72,336
73,582
74,360
75,97
76,932
77,465
78,573
79,296
80,622
81,197
82,935
83,750
84,179
85,249
86,878
87,757
88,452
89,764
90,278
91,668
92,228
93,759
94,421
95,463
96,830
97,290
98,564
99,963
100,271
101,647
102,744
103,71
104,79
105,47
106,450
107,748
108,454
109,70
110,428
111,108
112,610
113,98
114,851
115,344
116,805
117,604
118,378
119,953
120,443
121,988
122,843
123,933
124,451
125,628
126,242
127,983
128,59
129,392
130,686
131,736
132,481
133,456
134,18
135,938
136,609
137,650
138,176
139,788
140,308
141,546
142,437
143,923
144,112
145,530
146,821
147,874
148,700
149,507
150,262
151,506
152,318
153,325
154,240
155,864
156,669
157,751
158,331
159,605
160,593
161,339
162,149
163,102
164,743
165,467
166,575
167,632
168,809
169,21
170,223
171,212
172,980
173,319
174,442
175,168
176,716
177,559
178,243
179,173
180,987
181,960
182,832
183,844
184,407
185,534
186,253
187,701
188,881
189,749
190,408
191,972
192,113
193,922
194,477
195,229
196,873
197,952
198,944
199,235
200,99
201,652
202,752
203,350
204,414
205,274
206,88
207,816
208,763
209,695
210,183
211,662
212,969
213,233
214,215
215,912
216,915
217,192
218,679
219,431
220,374
221,784
222,12
223,620
224,340
225,41
226,498
227,15
228,709
229,9
230,956
231,550
232,966
233,17
234,281
235,852
236,250
237,714
238,837
239,436
240,924
241,681
242,730
243,617
244,299
245,277
246,2
247,911
248,747
249,293
250,115
251,94
252,150
253,61
254,898
255,762
256,288
257,822
258,285
259,831
260,368
261,328
262,190
263,405
264,346
265,446
266,806
267,105
268,583
269,95
270,670
271,199
272,693
273,210
274,269
275,267
276,409
277,29
278,266
279,468
280,560
281,594
282,258
283,791
284,916
285,337
286,792
287,268
288,8
289,774
290,14
291,968
292,599
293,136
294,391
295,676
296,553
297,493
298,847
299,272
300,303
301,202
302,107
303,673
304,941
305,800
306,590
307,773
308,419
309,579
310,60
311,395
312,438
313,729
314,101
315,975
316,460
317,432
318,426
319,333
320,840
321,918
322,433
323,474
324,27
325,802
326,570
327,827
328,237
329,256
330,482
331,516
332,126
333,289
334,284
335,760
336,348
337,562
338,674
339,1
340,826
341,469
342,49
343,184
344,848
345,338
346,554
347,614
348,600
349,323
350,182
351,191
352,964
353,795
354,245
355,892
356,514
357,203
358,352
359,6
360,373
361,416
362,667
363,756
364,306
365,445
366,548
367,574
368,585
369,151
370,224
371,159
372,83
373,535
374,217
375,770
376,533
377,225
378,592
379,399
380,0
381,496
382,200
383,783
384,466
385,519
386,621
387,580
388,888
389,134
390,612
391,810
392,999
393,823
394,940
395,655
396,872
397,568
398,522
399,24
400,366
401,723
402,529
403,598
404,418
405,703
406,26
407,313
408,54
409,448
410,707
411,833
412,93
413,462
414,157
415,449
416,578
417,950
418,244
419,891
420,613
421,675
422,746
423,846
424,526
425,164
426,767
427,697
428,739
429,794
430,726
431,163
432,353
433,728
434,417
435,812
436,376
437,67
438,542
439,992
440,89
441,457
442,919
443,510
444,724
445,637
446,820
447,643
448,755
449,389
450,53
451,642
452,327
453,380
454,799
454,270
455,778
456,882
457,857
458,186
459,478
460,994
461,364
462,332
463,393
464,779
465,958
466,58
467,977
468,19
469,595
470,57
471,476
472,985
473,745
474,653
475,300
476,90
477,211
478,684
479,201
480,422
481,273
482,161
483,371
484,103
485,931
486,947
487,819
488,661
489,786
490,943
491,861
492,383
493,246
494,194
495,427
496,528
497,140
498,77
499,28
500,55
501,563
502,894
503,961
504,388
505,227
506,209
507,3
508,787
509,705
510,23
511,829
512,307
513,544
514,234
515,552
516,503
517,520
518,949
519,719
520,444
521,887
522,232
523,494
524,718
525,607
526,148
527,411
528,119
529,625
530,876
531,511
532,845
533,129
534,146
535,644
536,372
537,776
538,692
539,302
540,75
541,139
542,488
543,236
544,453
545,523
546,255
547,310
548,854
549,591
550,984
551,889
552,239
553,970
554,981
